filename,n_redactions
00524.txt,15
00525.txt,12
00526.txt,4
00527.txt,11
00528.txt,40
00529.txt,0
00530.txt,98
00531.txt,9
00532.txt,15
00533.txt,2
00534.txt,7
00535.txt,0
00536.txt,9
00537.txt,1
00538.txt,0
00539.txt,6
00540.txt,32
00541.txt,11
00542.txt,16
00543.txt,3
00544.txt,3
00545.txt,0
00546.txt,16
00547.txt,5
00548.txt,0
00549.txt,1
00550.txt,50
00551.txt,11
00552.txt,0
00553.txt,3
00554.txt,3
00555.txt,33
00556.txt,18
00557.txt,2
00558.txt,5
00559.txt,4
00560.txt,10
00561.txt,21
00562.txt,2
00563.txt,0
00564.txt,2
00565.txt,4
00566.txt,14
00567.txt,6
00568.txt,6
00569.txt,46
00570.txt,14
00571.txt,2
00572.txt,10
00573.txt,4
00574.txt,2
00575.txt,1
00576.txt,9
00577.txt,10
00578.txt,8
00579.txt,9
00580.txt,9
00581.txt,11
00582.txt,32
00583.txt,23
00584.txt,2
00585.txt,12
00586.txt,7
00587.txt,1
00588.txt,86
00589.txt,16
00590.txt,20
00591.txt,1
00592.txt,26
00593.txt,51
00594.txt,0
00595.txt,12
00596.txt,2
00597.txt,20
00598.txt,9
00599.txt,6
00600.txt,2
00601.txt,21
00602.txt,7
00603.txt,11
00604.txt,7
00605.txt,0
00606.txt,19
00607.txt,2
00608.txt,6
00609.txt,39
00610.txt,3
00611.txt,8
00612.txt,5
00613.txt,44
00614.txt,79
00615.txt,34
00616.txt,2
00617.txt,5
00618.txt,4
00619.txt,4
00620.txt,32
00621.txt,22
00622.txt,3
00623.txt,1
00624.txt,19
00625.txt,0
00626.txt,16
00627.txt,7
00628.txt,12
00629.txt,0
00630.txt,20
00631.txt,14
00632.txt,3
00633.txt,12
00634.txt,63
00635.txt,2
00636.txt,15
00637.txt,8
00638.txt,6
00639.txt,1
00640.txt,27
00641.txt,6
00642.txt,11
00643.txt,12
00644.txt,6
00645.txt,3
00646.txt,12
00647.txt,1
00648.txt,16
00649.txt,13
00650.txt,0
00651.txt,1
00652.txt,2
00653.txt,2
00654.txt,0
00655.txt,2
00656.txt,10
00657.txt,2
00658.txt,0
00659 TEXT MISSING.txt,0
00661.txt,14
00662.txt,4
00663.txt,11
00664.txt,15
00665.txt,8
00666.txt,16
00667.txt,166
00668.txt,1
00669.txt,2
00670.txt,0
00671.txt,28
00672.txt,3
00673.txt,9
00674.txt,10
00675.txt,26
00676.txt,4
00677.txt,1
00678.txt,81
00679.txt,38
00680.txt,22
00681.txt,67
00682.txt,19
00683.txt,6
00684.txt,3
00685.txt,2
00686.txt,10
00687.txt,7
00688.txt,7
00689.txt,7
00690.txt,1
00691.txt,2
00692.txt,3
00693.txt,35
00694.txt,83
00695.txt,28
00696.txt,2
00697.txt,42
00698.txt,0
00699.txt,0
00700.txt,21
00701.txt,2
00702.txt,68
00703.txt,4
00704.txt,14
00705.txt,60
00706.txt,2
00707.txt,5
00708.txt,10
00709.txt,81
00710.txt,14
00711.txt,2
00712.txt,35
00713.txt,32
00714.txt,1
00715.txt,41
00716.txt,10
00717.txt,2
00718.txt,84
00719.txt,15
00720.txt,0
00721.txt,20
00722.txt,51
00723.txt,2
00724.txt,55
00725.txt,16
00726.txt,79
00727.txt,12
00728.txt,2
00729.txt,7
00730.txt,12
00731.txt,5
00732.txt,83
00734.txt,5
00735.txt,15
00736.txt,1
00737.txt,12
00738.txt,5
00739.txt,23
00740.txt,7
00741.txt,51
00742.txt,9
00743.txt,12
00744.txt,47
00745.txt,6
00746.txt,5
00747.txt,8
00748.txt,3
00749.txt,9
00750.txt,1
00751.txt,12
00752.txt,54
00753.txt,7
00754.txt,2
00755.txt,6
00756.txt,38
00757.txt,24
00758.txt,27
00759.txt,4
00760.txt,0
00761.txt,51
00762.txt,0
00763.txt,26
00764.txt,11
00765.txt,25
00766.txt,19
00767.txt,0
00768.txt,0
00769.txt,35
00770.txt,33
00771.txt,27
00772.txt,2
00773.txt,30
00774.txt,10
00775.txt,12
00776.txt,20
00777.txt,18
00778.txt,46
00779.txt,19
00780.txt,0
00781.txt,28
00782.txt,4
00783.txt,0
00784.txt,32
00785.txt,43
00786.txt,26
00787.txt,20
00788.txt,5
00789.txt,183
00792.txt,42
00793.txt,21
00794.txt,4
00795.txt,22
00796.txt,10
00797.txt,0
00798.txt,16
00799.txt,0
00800.txt,13
00801.txt,12
00802.txt,23
00803.txt,19
00804.txt,0
00805.txt,8
00806.txt,11
00807.txt,16
00808.txt,13
00809.txt,4
00810.txt,16
00811.txt,6
00812.txt,20
00813.txt,112
00814.txt,71
00815.txt,5
